"id","year","communitynumber_communityname_ar","communitynumber_communityname_en","population"
"119","2018","672-البرشاء جنوب الثانية","672-AL BARSHA SOUTH SECOND","7057"
"120","2018","673-البرشاء جنوب الثالثة","673-AL BARSHA SOUTH THIRD","4566"
"121","2018","674-الحبيه الأولى","674-AL HEBIAH FIRST","9672"
"122","2018","675-الحبيه الثانية","675-AL HEBIAH SECOND","1032"
"123","2018","676-الحبيه الثالثة","676-AL HEBIAH THIRD","6250"
"124","2018","677-الحبيه السادسة","677-AL HEBIAH SIXTH","1759"
"125","2018","681-البرشاء جنوب الرابعة","681-AL BARSHA SOUTH FOURTH","25297"
"126","2018","682-الحبيه الرابعة","682-AL HEBIAH FOURTH","18789"
"127","2018","683-الحبيه الخامسة","683-AL HEBIAH FIFTH","8919"
"128","2018","684-البرشاء جنوب الخامسة","684-AL BARSHA SOUTH FIFTH","6753"
"129","2018","685-معيصم الأولى","685-MEAISEM FIRST","17413"
"130","2018","686-معيصم الثانية","686-MEAISEM SECOND","11"
"131","2018","711-العوير الأولى","711-AL AWEER ONE","3587"
"132","2018","721-العوير الثانية","721-AL AWEER TWO","4870"
"133","2018","724-نخلي","724-ENKHALI","26"
"134","2018","727-الوحوش","727-AL WOHOOSH","46"
"135","2018","731-لهباب الأولى","731-LEHBAB FIRST","2921"
"136","2018","735-المريال","735-AL MERYAL","727"
"137","2018","736-نزوه","736-NAZWAH","504"
"138","2018","335-المركز التجاري الأولى","335-TRADE CENTER FIRST","15355"
"139","2018","334-السطوة","334-AL SATWA","41048"
"140","2018","333-البدع","333-AL BADA","54338"
"141","2018","332-جميرا الأولى","332-JUMEIRA FIRST","18843"
"142","2018","326-الجداف","326-AL JADAF","4197"
"143","2018","325-زعبيل الأولى","325-ZAABEEL FIRST","3062"
"144","2018","324-الكفاف","324-AL KIFAF","2"
"145","2018","323-الجافلية","323-AL JAFLIYA","21957"
"146","2018","322-الحضيبة","322-AL HUDAIBA","13034"
"147","2018","321-مدينه دبي الملاحيه (الميناء)","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","14129"
"148","2018","319-عود ميثاء","319-OUD METHA","13616"
"149","2018","318-الكرامة","318-AL KARAMA","70558"
"150","2018","317-المنخول","317-AL MANKHOOL","37400"
"151","2018","316-الرفاعة","316-AL RAFFA","42904"
"152","2018","315-ام هرير الثانية","315-UM HURAIR SECOND","4867"
"153","2018","314-ام هرير الأولى","314-UM HURAIR FIRST","5351"
"154","2018","313-الحمرية","313-AL HAMRIYA","33421"
"155","2018","312-السوق الكبير","312-AL SUQ AL KABEER","46929"
"156","2018","311-الشندغة","311-AL SHANDAGA","2"
"157","2018","304-جزيرة جميرا 2","304-JUMEIRA ISLAND 2","3"
"158","2018","303-جزر العالم","303-WORLD ISLANDS","7"
"159","2018","302-شاطئ جميرا","302-JUMEIRA BAY","39"
"160","2018","284-الطي","284-AL TTAY","805"
"161","2018","283-العياص","283-AL AYAS","1706"
"162","2018","282-الخوانيج الثانية","282-AL KHAWANEEJ TWO","3865"
"163","2018","281-الخوانيج الأولى","281-AL KHAWANEEJ ONE","12241"
"164","2018","271-وادي العمردي","271-WADI ALAMRADI","3193"
"165","2018","268-عود المطينة الثالثة","268-OUD AL MUTEEN THIRD ","6344"
"166","2018","267-محصينة الخامسة ","267-MUHAISANAH FIFTH","2"
"167","2018","266-عود المطينة الثانية ","266-OUD AL MUTEEN SECOND ","5047"
"168","2018","265-عود المطينة الأولى","265-OUD AL MUTEEN FIRST","12510"
"169","2018","264-محيصنة الثانية ","264-MUHAISANAH SECOND ","197838"
"170","2018","122-البراحة","122-AL BARAHA","24373"
"171","2018","123-المطينة","123-AL MUTEENA","43473"
"172","2018","124-المرقبات","124-AL MURQABAT","68717"
"173","2018","125-رقة البطين","125-REGA AL BUTEEN","6984"
"174","2018","126-ابو هيل","126-ABU HAIL","16905"
"175","2018","127-هورالعنز","127-HOR AL ANZ","81741"
"176","2018","128-الخبيصي","128-AL KHBEESI","1952"
"177","2018","129-بور سعيد","129-PORT SAEED","13266"
"178","2018","131-ميناء الحمرية","131-AL HAMRIYA PORT","468"
"179","2018","132-الوحيدة","132-AL WAHEDA","20392"
"180","2018","133-هور العنز شرق","133-HOR AL ANZ EAST","20847"
"181","2018","134-الممزر","134-AL MAMZER","14178"
"182","2018","213-ند شما","213-NAD SHAMMA","2964"
"183","2018","214-القرهود","214-AL GARHOUD","18424"
"184","2018","215-ام رمول","215-UM RAMOOL","3545"
"185","2018","216-الراشدية","216-AL RASHIDIYA","34594"
"186","2018","221-مطار دبي الدولي","221-DUBAI  AIRPORT","22"
"187","2018","226-الطوار الأولى","226-AL TWAR FIRST","10957"
"188","2018","227-الطوار الثانية","227-AL TWAR SECOND","4577"
"189","2018","228-الطوار الثالثة","228-AL TWAR THIRD","10217"
"190","2018","231-النهدة الأولى","231-AL NAHDA FIRST","29011"
"191","2018","232-القصيص الأولى","232-AL QUSAIS FIRST","41818"
"192","2018","233-القصيص الثانية","233-AL QUSAIS SECOND","11442"
"193","2018","234-القصيص الثالثة","234-AL QUSAIS THIRD","6812"
"194","2018","241-النهدة الثانية","241-AL NAHDA SECOND","56489"
"195","2018","242-القصيص الصناعية الأولى","242-AL QUSAIS IND. FIRST","8362"
"196","2018","243-القصيص الصناعية الثانية","243-AL QUSAIS IND. SECOND","8063"
"197","2018","244-محيصنة الثالثة","244-MUHAISANAH THIRD","6129"
"198","2018","645-وادي الصفا 3","645-WADI AL SAFA 3","9599"
"199","2018","643-وادي الصفا 2","643-WADI AL SAFA 2","9623"
"200","2018","631-حدائق الشيخ محمد بن راشد","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","68"
"201","2018","626-ند حصة","626-NADD HESSA","35361"
"202","2018","624-ورسان الرابعة","624-WARSAN FOURTH","8359"
"203","2018","622-ورسان الثانية","622-WARSAN SECOND","1524"
"204","2018","621-ورسان الأولى","621-WARSAN FIRST","97159"
"205","2018","618-ند الشبا الأولى","618-NAD AL SHIBBA FIRST","5485"
"206","2018","617-ند الشبا الرابعة","617-NAD AL SHIBBA FOURTH","3505"
"207","2018","616-ند الشبا الثالثة","616-NAD AL SHIBBA THIRD","137"
"208","2018","615-ند الشبا الثانية","615-NAD AL SHIBBA SECOND","2258"
"209","2018","614-رأس الخور الصناعية الثالثة","614-RAS AL KHOR IND. THIRD","21500"
"210","2018","613-رأس الخور الصناعية الثانية","613-RAS AL KHOR IND. SECOND","2352"
"211","2018","612-رأس الخور الصناعية الأولى","612-RAS AL KHOR IND. FIRST","2393"
"212","2018","611-بو كدرة","611-BU KADRA","15"
"213","2018","599-جبل علي الصناعية الأولى","599-JABAL ALI INDUSTRIAL FIRST","129024"
"214","2018","598-مجمع دبي للإستثمارالاول","598-DUBAI INVESTMENT PARK1","69000"
"215","2018","597-مجمع دبي للإستثمار الثاني","597-DUBAI INVESTMENT PARK2","59763"
"216","2018","594-ميناء جبل علي","594-MENA JABAL ALI","28600"
"217","2018","593-جبل علي الثالثة","593-JABAL ALI THIRD","1513"
"218","2018","263-المزهر الثانية","263-AL MEZHAR SECOND","10781"
"219","2018","262-المزهر الأولى","262-AL MEZHAR FIRST","15806"
"220","2018","261-محيصنة الأولى","261-MUHAISANAH FIRST","7375"
"221","2018","252-مشرف","252-MUSHRAIF","63"
"222","2018","251-مردف","251-MURDAF","60288"
"223","2018","248-القصيص الصناعية الخامسة","248-AL QUSAIS IND FIFTH","1286"
"224","2018","247-القصيص الصناعية الرابعة","247-AL QUSAIS IND. FOURTH","2476"
"225","2018","246-القصيص الصناعية الثالثة","246-AL QUSAIS IND. THIRD","2559"
"226","2018","245-محيصنة الرابعة","245-MUHAISANAH FOURTH","32346"
"227","2019","265-عود المطينة الأولى","265-OUD AL MUTEEN FIRST","14672"
"228","2019","264-محيصنة الثانية ","264-MUHAISANAH SECOND ","196316"
"229","2019","263-المزهر الثانية","263-AL MEZHAR SECOND","11317"
"230","2019","262-المزهر الأولى","262-AL MEZHAR FIRST","16552"
"231","2019","261-محيصنة الأولى","261-MUHAISANAH FIRST","8091"
"232","2019","252-مشرف","252-MUSHRAIF","67"
"233","2019","251-مردف","251-MURDAF","64355"
"234","2019","248-القصيص الصناعية الخامسة","248-AL QUSAIS IND FIFTH","1613"
"235","2019","247-القصيص الصناعية الرابعة","247-AL QUSAIS IND. FOURTH","2709"
"236","2019","246-القصيص الصناعية الثالثة","246-AL QUSAIS IND. THIRD","2710"
"237","2019","245-محيصنة الرابعة","245-MUHAISANAH FOURTH","34947"
"238","2019","244-محيصنة الثالثة","244-MUHAISANAH THIRD","6493"
"239","2019","243-القصيص الصناعية الثانية","243-AL QUSAIS IND. SECOND","8834"
"240","2019","242-القصيص الصناعية الأولى","242-AL QUSAIS IND. FIRST","9369"
"241","2019","241-النهدة الثانية","241-AL NAHDA SECOND","61936"
"242","2019","234-القصيص الثالثة","234-AL QUSAIS THIRD","7162"
"243","2019","233-القصيص الثانية","233-AL QUSAIS SECOND","12473"
"244","2019","232-القصيص الأولى","232-AL QUSAIS FIRST","45657"
"245","2019","231-النهدة الأولى","231-AL NAHDA FIRST","31449"
"246","2019","228-الطوار الثالثة","228-AL TWAR THIRD","10655"
"247","2019","227-الطوار الثانية","227-AL TWAR SECOND","4835"
"248","2019","226-الطوار الأولى","226-AL TWAR FIRST","11509"
"249","2019","369-القوز الصناعية الرابعة ","369-AL GOZE IND. FOURTH ","38079"
"250","2019","368-القوز الصناعية الثالثة ","368-AL GOZE IND. THIRD ","26656"
"251","2019","367-ام الشيف","367-UM AL SHEIF","4367"
"252","2019","366-ام سقيم الثالثة","366-UM SUQAIM THIRD","7520"
"253","2019","365-القوز الصناعية الثانية ","365-AL GOZE IND. SECOND ","159978"
"254","2019","364-القوز الصناعية الأولى ","364-AL GOZE IND. FIRST ","26075"
"255","2019","363-المنارة","363-AL MANARA","8271"
"256","2019","362-ام سقيم الثانية","362-UM SUQAIM SECOND","12325"
"257","2019","359-القوز الرابعة","359-AL GOZE FOURTH","22718"
"258","2019","358-القوز الثالثة","358-AL GOZE THIRD","40553"
"259","2019","357-الصفا الثانية","357-AL SAFFA SECOND","6679"
"260","2019","356-ام سقيم الأولى","356-UM SUQAIM FIRST","11718"
"261","2019","355-القوز الثانية","355-AL GOZE SECOND","5240"
"262","2019","354-القوز الأولى","354-AL GOZE FIRST","20154"
"263","2019","353-الصفا الأولى","353-AL SAFFA FIRST","8514"
"264","2019","352-جميرا الثالثة","352-JUMEIRA THIRD","13417"
"265","2019","347-المركاض","347-AL MERKADH","1317"
"266","2019","346-الخليج التجاري","346-AL KALIJ AL TEJARI","21179"
"267","2019","345-برج خليفة","345-BURJ KHALIFA","20477"
"268","2019","861-يراح","861-YARAAH","94"
"269","2019","857-مرقب","857-MARGAB","628"
"270","2019","851-رماح","851-REMAH","232"
"271","2019","847-أم السلي","847-UMM ESELAY","204"
"272","2019","845-المها","845-AL MAHA","193"
"273","2019","841-مرغم","841-MARGHAM","1005"
"274","2019","835-أم المؤمنين","835-UMM AL MOMENEEN","309"
"275","2019","831-لهباب الثانية","831-LEHBAB SECOND","1511"
"276","2019","826-الحميرا","826-LE HEMAIRA","53"
"277","2019","824-أم الدمن","824-UMM AL DAMAN","283"
"278","2019","821-مرييل","821-MEREIYEEL","1119"
"279","2019","814-الرويه الثالثة","814-AL ROWAIYAH THIRD","4429"
"280","2019","813-الرويه الثانية","813-AL ROWAIYAH SECOND","25"
"281","2019","812-الرويه الأولى","812-AL ROWAIYAH FIRST","3127"
"282","2019","811-ورسان الثالثة","811-WARSAN THIRD","13579"
"283","2019","736-نزوه","736-NAZWAH","544"
"284","2019","735-المريال","735-AL MERYAL","754"
"285","2019","731-لهباب الأولى","731-LEHBAB FIRST","3197"
"286","2019","727-الوحوش","727-AL WOHOOSH","46"
"287","2019","322-الحضيبة","322-AL HUDAIBA","14191"
"288","2019","321-مدينه دبي الملاحيه (الميناء)","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","15172"
"289","2019","319-عود ميثاء","319-OUD METHA","14901"
"290","2019","318-الكرامة","318-AL KARAMA","75066"
"291","2019","317-المنخول","317-AL MANKHOOL","40091"
"292","2019","316-الرفاعة","316-AL RAFFA","47140"
"293","2019","315-ام هرير الثانية","315-UM HURAIR SECOND","5328"
"294","2019","314-ام هرير الأولى","314-UM HURAIR FIRST","5856"
"295","2019","313-الحمرية","313-AL HAMRIYA","36738"
"296","2019","312-السوق الكبير","312-AL SUQ AL KABEER","51012"
"297","2019","311-الشندغة","311-AL SHANDAGA","2"
"298","2019","304-جزيرة جميرا 2","304-JUMEIRA ISLAND 2","3"
"299","2019","303-جزر العالم","303-WORLD ISLANDS","7"
"300","2019","302-شاطئ جميرا","302-JUMEIRA BAY","39"
"301","2019","284-الطي","284-AL TTAY","810"
"302","2019","283-العياص","283-AL AYAS","1757"
"303","2019","282-الخوانيج الثانية","282-AL KHAWANEEJ TWO","4523"
"304","2019","281-الخوانيج الأولى","281-AL KHAWANEEJ ONE","12893"
"305","2019","271-وادي العمردي","271-WADI ALAMRADI","3368"
"306","2019","268-عود المطينة الثالثة","268-OUD AL MUTEEN THIRD ","6679"
"307","2019","267-محصينة الخامسة ","267-MUHAISANAH FIFTH","2"
"308","2019","266-عود المطينة الثانية ","266-OUD AL MUTEEN SECOND ","5506"
"309","2019","381-نخلة جميرا ","381-NAKHLAT JUMEIRA ","24448"
"310","2019","376-البرشاء الثانية","376-AL BAESHAA SECOND","15523"
"311","2019","375-البرشاء الثالثة","375-AL BARSHAA THIRD","14601"
"312","2019","373-البرشاء الأولى","373-AL BARSHAA FIRST","39451"
"313","2019","372-الصفوح الأولى","372-AL SAFOUH FIRST","4435"
"314","2019","115-السبخة","115-AL SABKHA","3969"
"315","2019","114-البطين","114-AL BUTEEN","2841"
"316","2019","113-الضغاية","113-AL DHAGAYA","15899"
"317","2019","613-رأس الخور الصناعية الثانية","613-RAS AL KHOR IND. SECOND","2514"
"318","2019","614-رأس الخور الصناعية الثالثة","614-RAS AL KHOR IND. THIRD","21834"
"319","2019","615-ند الشبا الثانية","615-NAD AL SHIBBA SECOND","2389"
"320","2019","616-ند الشبا الثالثة","616-NAD AL SHIBBA THIRD","767"
"321","2019","617-ند الشبا الرابعة","617-NAD AL SHIBBA FOURTH","3685"
"322","2019","618-ند الشبا الأولى","618-NAD AL SHIBBA FIRST","5948"
"323","2019","621-ورسان الأولى","621-WARSAN FIRST","106072"
"324","2019","622-ورسان الثانية","622-WARSAN SECOND","1568"
"325","2019","624-ورسان الرابعة","624-WARSAN FOURTH","8994"
"326","2019","626-ند حصة","626-NADD HESSA","38494"
"327","2019","631-حدائق الشيخ محمد بن راشد","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","1563"
"328","2019","643-وادي الصفا 2","643-WADI AL SAFA 2","10519"
"329","2019","645-وادي الصفا 3","645-WADI AL SAFA 3","9764"
"330","2019","646-وادي الصفا 4","646-WADI AL SAFA 4","2"
"331","2019","648-وادي الصفا 5","648-WADI AL SAFA 5","21241"
"332","2019","664-وادي الصفا 6 (المرابع العربية)","664-WADI AL SAFA 6 (ARABIAN RANCHES)","18213"
"333","2019","665-وادي الصفا 7 ","665-WADI AL SAFA 7","8473"
"334","2019","671-البرشاء جنوب الأولى","671-AL BARSHA SOUTH FIRST","13717"
"335","2019","672-البرشاء جنوب الثانية","672-AL BARSHA SOUTH SECOND","7509"
"336","2019","673-البرشاء جنوب الثالثة","673-AL BARSHA SOUTH THIRD","6929"
"337","2019","674-الحبيه الأولى","674-AL HEBIAH FIRST","10598"
"338","2019","675-الحبيه الثانية","675-AL HEBIAH SECOND","1523"
"339","2019","676-الحبيه الثالثة","676-AL HEBIAH THIRD","6845"
"340","2019","677-الحبيه السادسة","677-AL HEBIAH SIXTH","2322"
"341","2019","681-البرشاء جنوب الرابعة","681-AL BARSHA SOUTH FOURTH","25974"
"342","2019","682-الحبيه الرابعة","682-AL HEBIAH FOURTH","20611"
"343","2019","683-الحبيه الخامسة","683-AL HEBIAH FIFTH","9748"
"344","2019","684-البرشاء جنوب الخامسة","684-AL BARSHA SOUTH FIFTH","7384"
"345","2019","685-معيصم الأولى","685-MEAISEM FIRST","18002"
"346","2019","686-معيصم الثانية","686-MEAISEM SECOND","12"
"347","2019","711-العوير الأولى","711-AL AWEER ONE","4107"
"348","2019","721-العوير الثانية","721-AL AWEER TWO","5236"
"349","2019","724-نخلي","724-ENKHALI","26"
"350","2019","343-الوصل","343-AL WASL","11555"
"351","2019","342-جميرا الثانية","342-JUMEIRA SECOND","10079"
"352","2019","337-زعبيل الثانية","337-ZAABEEL SECOND","8102"
"353","2019","336-المركز التجاري الثانية","336-TRADE CENTER SECOND","12218"
"354","2019","335-المركز التجاري الأولى","335-TRADE CENTER FIRST","16519"
"355","2019","221-مطار دبي الدولي","221-DUBAI  AIRPORT","22"
"356","2019","216-الراشدية","216-AL RASHIDIYA","37167"
"357","2019","215-ام رمول","215-UM RAMOOL","2935"
"358","2019","214-القرهود","214-AL GARHOUD","18535"
"359","2019","213-ند شما","213-NAD SHAMMA","3124"
"360","2019","134-الممزر","134-AL MAMZER","14938"
"361","2019","133-هور العنز شرق","133-HOR AL ANZ EAST","21218"
"362","2019","132-الوحيدة","132-AL WAHEDA","20785"
"363","2019","131-ميناء الحمرية","131-AL HAMRIYA PORT","481"
"364","2019","129-بور سعيد","129-PORT SAEED","13551"
"365","2019","128-الخبيصي","128-AL KHBEESI","1992"
"366","2019","127-هورالعنز","127-HOR AL ANZ","83187"
"367","2019","126-ابو هيل","126-ABU HAIL","17240"
"368","2019","125-رقة البطين","125-REGA AL BUTEEN","7120"
"369","2019","124-المرقبات","124-AL MURQABAT","69771"
"370","2019","123-المطينة","123-AL MUTEENA","46185"
"371","2019","122-البراحة","122-AL BARAHA","24747"
"372","2019","121-كورنيش ديرة","121-CORNICHE DEIRA","14"
"373","2019","119-الرقة","119-AL REGA","10480"
"374","2019","118-نايف","118-NAIF","50090"
"375","2019","117-المرر","117-AL MURAR","38970"
"376","2019","116-عيال ناصر","116-AYAL NASIR","19280"
"377","2019","334-السطوة","334-AL SATWA","38991"
"378","2019","333-البدع","333-AL BADA","56734"
"379","2019","332-جميرا الأولى","332-JUMEIRA FIRST","20356"
"380","2019","326-الجداف","326-AL JADAF","5104"
"381","2019","325-زعبيل الأولى","325-ZAABEEL FIRST","3260"
"382","2019","324-الكفاف","324-AL KIFAF","2"
"383","2019","323-الجافلية","323-AL JAFLIYA","23963"
"384","2019","412-الخيران","412-AL KHEERAN","4982"
"385","2019","394-الثنيه الرابعة (تلال الامارات الثالثة)","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","27728"
"386","2019","393-الثنيه الخامسة (تلال الامارات الاولى)","393-AL THANYAH FIFTH (EMIRATE HILLS FIRST) ","40586"
"387","2019","392-مرسى دبي (الميناء السياحي) ","392-MARSA DUBAI (AL MINA AL SEYAHI) ","61047"
"388","2019","388-الثنيه الثالثة (تلال الامارات الثانية)","388-AL THANYAH THIRD (EMIRATE HILLS SECOND)","21442"
"389","2019","384-الثنيه الثانية (مضمار جبل علي)","384-AL THANYAH SECOND (JEBEL ALI HORSE RACING)","115"
"390","2019","383-الثنيه الأولى (قرية ربيع الصحراء)","383-AL THANYAH FIRST (V. RABIE SAHRAA)","24834"
"391","2019","382-الصفوح الثانية","382-AL SOFOUH SECOND","6126"
"392","2019","101-نخلة ديرة","101-NAKHLAT DEIRA","2"
